Country_Name,Unemployment_Percentage_2005
Sub-Saharan Africa,7.953865656
Small states,13.42855003
Sao Tome and Principe,16.46999931
Suriname,8.652999878
Slovak Republic,16.25600052
Slovenia,6.506000042
Sweden,7.486000061
Swaziland,25.5170002
Sint Maarten (Dutch part),
Seychelles,
Syrian Arab Republic,9.215000153
Turks and Caicos Islands,
Chad,5.761000156
East Asia & Pacific (IDA & IBRD countries),4.691789436
Europe & Central Asia (IDA & IBRD countries),9.315356949
Togo,6.978000164
Thailand,1.350000024
Tajikistan,11.68799973
Turkmenistan,9.229000092
Latin America & the Caribbean (IDA & IBRD countries),9.28912621
Timor-Leste,7.254000187
Middle East & North Africa (IDA & IBRD countries),12.71050224
Tonga,5.159999847
South Asia (IDA & IBRD),4.717624351
Sub-Saharan Africa (IDA & IBRD countries),7.953865656
Trinidad and Tobago,7.949999809
Tunisia,12.89999962
Turkey,10.63599968
Tuvalu,
Tanzania,3.078999996
Uganda,1.899999976
Ukraine,7.179999828
Upper middle income,6.163685093
Uruguay,12.19999981
United States,5.099999905
Uzbekistan,9.343000412
St. Vincent and the Grenadines,19.42499924
"Venezuela, RB",11.39999962
British Virgin Islands,
Virgin Islands (U.S.),9.345999718
Vietnam,2.325999975
Vanuatu,5.627999783
World,6.227887453
Samoa,4.790999889
Kosovo,
"Yemen, Rep.",16.10000038
South Africa,23.84000015
Zambia,15.89999962
Zimbabwe,4.848999977
