,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,C?te d'Ivoire,Croatia,Cuba,Cura?ao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,R?union,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Aruba,,,,,,,,5,1,,,42,,,,,,,,,,,,,2,755,,,,,,5,,,,,,657,,,,,5,,,,307,,,,33,,,,  1 708,,,,,6,,47,160,,,,,,,,,,,3,11,,,,,,,,,1,,,,,,,,,,,,,1,,,,,7,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 994,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,17,,,,,,,,,,,,  1 286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,,  5 943,501,,,,486,,,,,,
Australia,,,,,61,,,7,275,,,,  2 490,,83,,,24,28,881,,,69,27,228,,,448,703,23,515,198,,,,116,,  27 538,170,10,,,998,  5 227,  9 091,,220,,,370,69,,  1 595,,,  3 319,528,202,,  3 018,,7,40,373,524,27,,,59,,,42,  1 887,  1 358,  8 349,,70,,,,  13 892,32,,  20 224,,,,,70,,,,,,,953,115,663,  10 547,,,  6 601,371,  3 266,  19 850,,  9 062,264,,,89,,,17,139,,,,748,,38,77,,,  5 310,102,,  5 053,,,,,,592,,,208,137,,,,,491,148,,  10 366,354,  65 161,,,,21,,  2 176,,,,279,  9 183,,590,  3 993,908,  1 164,,,  4 082,,,,543,,,,16,,,333,,,,,675,52,,  10 129,,270,401,279,,  7 350,,  5 990,461,,,,55,  3 944,  7 872,,,  1 196,,509,,39,,,,  2 947,,,,,,,  135 786,,  77 845,,,,629,148,37,,,,470,
Austria,,,,,,,,,  1 022,,,  20 434,,,40,,,,59,  3 020,,,32,,159,,189,,  2 791,,,519,,,,,,  19 200,46,21,,,536,,,,209,,,,132,,  5 148,,,394,  2 641,,,  1 912,,,208,546,674,11,,,65,,,,,731,  12 559,,,,,,  257 583,,,  2 253,,,,,,,,,352,,,  9 044,122,,,,,784,,  5 064,  16 331,,502,123,,,,,,,119,,,,752,  3 868,51,970,,,,20,,129,,,,,,497,,,15,257,,,,,558,,,  6 671,,  1 340,38,,,,,  1 588,,,,108,,,197,503,  3 790,488,,,,,,195,  2 953,,,,,,,,,,,,  6 998,,,,,  3 154,  3 052,,,  5 501,,  8 844,,,,,,  5 936,  65 090,,66,,,,,,,,,  14 394,,,,,,,  21 698,,  49 704,,,,,828,,,,,,
Azerbaijan,,,,,,,,,,  87 675,,538,  1 076,,,,,,  13 493,  1 206,,,,,1,,,,,,,  1 968,,,,,,  3 311,,,,,5,,,,,,,,3,,,,,39,  1 099,,,309,,,,,37,,,,  1 486,,,,,148,  4 112,,,,,  3 891,  19 180,,,507,,,,,,,,,,,,159,13,,,  12 007,,50,,  13 529,709,,,,  48 377,,,,  4 678,,  2 040,,,,,,873,,,,,,,,,,,,,,,,,,,,,,,,,728,,,,,,,,511,,,,,,,,,265,63,,,,984,,,  767 339,,,,,,,,,,,,,,,,,36,,,,,,616,,,,,,  2 882,578,,175,,,,,,,,,  16 856,  7 636,,,,  82 299,,  3 126,,  19 799,,,  20 357,,,,,,,,
Bahamas,,,,,,,,2,,,,316,22,,,,,49,,2,,,,,0,21,,,18,26,,4,,,,,,  2 160,168,,,,2,,,,,,,,12,,,,81,0,,,,18,,12,39,48,17,,,,,,,,,10,45,,,,,,,,,23,,30,,,,,,15,,,,6,8,,,,,27,,,93,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,56,,,84,,,,,20,,,,,,,,,,,,,,,,,,,,24,13,,,,,,,,,,,,,,,,,,,58,,,,,,29,130,,,,,,,,,,,,,12,,,,,  2 071,,  33 617,,,,,,,,,,,
Bahrain,,,,,,,,,12,,,  1 656,21,,,,  30 160,,,3,,,,,0,,,,31,,,16,,,,,,  2 388,,,,,5,,,,,,,,1,,,,,120,13,,,92,,,21,,448,,,,1,,,,,23,161,,,,,,,,,23,,,,,,,,,,,,15,1,,,,,82,,,50,,,449,,,,  1 297,,,0,111,,,968,,,,,,,,,,,,,,,,,,,,,,,,44,,,121,,,,,,,,31,891,,,,,,,111,,,,764,,,,,,,,,,,,,,,,,,,,,,,,,,177,,56,390,  8 555,,,,88,307,,,,,,,,,,,,,,,,,0,  6 261,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,  37 092,  2 737,,,  78 396,,,,  2 350,,,,52,28,,,,54,,  1 234,575,,,,,,  51 227,,,,,5,  4 018,444,,,,,,3,,,,,725,162,152,,  1 086,,,,,283,6,,,11,,,,  1 366,  2 339,  4 995,,,,,,  7 576,,,  9 812,,,,,,,,,,,,71,9, 3 171 022,,,,  3 232,,,  97 036,,  8 869,  12 266,,,,  350 229,,,6,  3 046,,,  1 250,,,32,,,  358 432,  53 565,,17,,,,  8 327,,72,,,,,,,,  1 024,29,,233,  1 335,,  1 530,,,,,370,  1 000,  346 068,,,42,,,,158,100,  1 424,,  160 183,  13 733,,,119,471,,,,,,,,,,  967 223,,,221,,  80 747,,,,,,  2 908,,  10 033,653,,,,,  7 310,  2 114,,,  1 022,,125,,,,,,329,,,,148,,  906 483,  230 143,,  186 028,,,,,,  7 895,,,,,
Barbados,,,,,,,,302,7,,,443,21,,238,,,,,3,,,,,0,64,,,33,182,,4,,,,,,  17 207,166,,,,5,,,,,,,,11,,,,191,,2,,,34,,167,,,,40,,,1,,,,,13,77,,,,,,,,,11,,178,,,,,,268,,,,2,1,,,,,18,,,50,533,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,22,,,,32,,,,,,,,,,,,,,,,96,778,,347,,,,,,,,,,73,,,,,30,,43,,,,,,112,85,,,,,,,,,  1 066,,,,,,,,,  20 271,,  54 780,368,,,,7,,,,,,
Belarus,,,,,,,,,304,328,,  2 057,  1 667,459,,,,,,  1 675,,,,,5,,,,10,,,707,,,,,,  11 655,,,,,5,,,,,,,,5,,94,,,378,  4 094,,,711,,,,,311,,,,  11 883,,,,,384,  3 400,,,,,  8 272,  25 532,,,  1 457,,,,,,,,,,,,208,42,,,,,611,,  23 119,  32 383,,,,  69 136,,,,  9 947,,  45 962,,,,761,,  35 005,42,,,,,,33,,,,,,,,,,,,,,,,,,284,,,,,,,,996,,,,,,,,,  75 926,916,,,,  3 326,,,  764 279,,,,,,,,,,,,134,,,,,215,149,,,218,,  3 886,,,,,,  2 785,  1 195,,703,,,,,,,,,300,  3 868,,,,  245 534,,  4 734,,  56 701,,,  26 532,,,,,,,,
Belgium,,,,,202,,,,537,,,  7 849,  2 575,,30,,,,36,,,,23,,377,,,,  2 022,,,  1 061,,605,10,,,  23 119,11,,,,843,,,,435,,,,300,,375,,91,291,610,,,  2 052,,,256,855,626,52,,,109,,,,,722,  153 220,130,,324,,,  34 947,,,  5 124,,,463,,,807,,,,,19,  1 915,106,,,,,  1 638,,  5 993,  46 393,,628,77,,,,,,,97,,,,675,41,174,  19 836,,,,,,194,,131,60,118,,842,,,,,,  1 426,,,168,,,  54 038,,,44,,,,,  1 672,,,,271,,,615,533,  5 219,  3 312,,,,,,223,471,,,,,,,,,,,,217,38,,,,807,314,,,  8 538,,  43 052,,,,,,  2 422,  16 243,,,,,,65,,,,,  8 787,,,,45,,,  29 142,,  32 907,,,,,395,,,,,,
Belize,,,,,,,,14,6,,,42,41,,44,,,22,,,,,,,905,,,,6,,,2,,,,,,  2 149,319,,,,2,,,,,,,,143,,,,,0,0,,,7,,,,,,339,,,1,,,,,3,9,,,,,,,,,5,,,,,916,,,,,,268,3,0,,,,,2,,,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 160,,,,,,,,,,,,,,,24,,,,,,,,,86,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,34,,,,,,,63,,,,,,,,,,,,,,,,,,  1 452,,  49 765,,,,,20,,,,,,
Benin,,,,,,,,,,,,105,80,,,,,,,  1 016,,,,,1,,,,31,,,31,  4 178,,,,  1 844,  2 176,,,,,2,,,,,,  15 194,,1,  54 068,,,,10,41,,,48,,,,,42,,,,,,,,,22,  20 414,,,  33 794,,,  2 142,  16 551,,8,,,,,,  9 250,,,,,,26,1,,,,,34,,,  2 566,,,,,,,,,,0,,,20,,,,,,,,,  4 035,,,,551,,,,,,,,,,,,143,,,288,,,,  17 908,  351 985,,,28,,,,,,,,,,32,,,,,,,94,,,,,,,,,,,  3 487,,,239,,,,,,,197,,398,,,,,,89,566,,,,,,  71 438,,,,,,,,,,,,678,,,,,,,,,,,,,
Bermuda,,,,,,,,14,,,,622,19,,39,,,28,,,,,,,0,,,,,,,2,,,,,,  3 186,31,,,,5,,,,,,,,11,,,,,0,4,,,0,,,16,,,,,,,,,,,4,115,,,,,,,,,8,,,,,,,,,,,,1,3,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 602,,  8 176,,,,,,,,,,,
Bhutan,,,,,,,,,,,,  3 829,24,,,,,,,155,,,,,,,,,,,,25,,,,,,  2 519,,,,,5,,,,,,,,4,,,,,,2,,,614,,,8,,,,,,,,,,,4,87,,,,,,,,,2,,,,,,,,,,,,,,  6 647,,,,7,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  28 740,327,,,,,,,,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,26,72,,,,,,,,,,,,,,,,,,463,,,,,,,,,,,,,
Bolivia (Plurinational State of),,,,,,,,,  419 048,,,  1 055,509,,,,,,,459,,,,,,,,,  46 336,,,19,,,,,,  5 667,,,,,  37 554,,,,818,,,,379,,32,54,,13,71,,,463,,,171,  1 528,,53,,,1,,,,,183,  3 147,,,,,,  5 362,,,23,,,,,136,,,,,,108,53,15,,,,,17,,,  15 698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 715,,,,,,,,,,,,881,,,64,,,,,531,,,,454,,  1 009,  5 722,35,48,207,56,,,,,,84,,,,,,,,,,,,,,,,,,,,,164,,  154 675,,,,,,  4 485,  3 417,,,,,,,,,,,,,,,,,,  4 046,,  80 073,,,,,  1 967,,,,,,
"Bonaire, Sint Eustatius and Saba",,,,,,,,11,,,297,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 334,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,,,  1 025,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,  41 449,  155 164,,,,,,,  3 059,,,,,10,,,,82,,,112,,,,,,  39 583,,,,,12,,,,,,,,,,  404 874,,,76,  2 648,,,  18 735,,,5,,70,,,,2,,,,,832,  13 939,,,,,,  199 837,,,440,,,,,,,,,,,,271,153,,,,,640,,,  11 106,,,64,,,,,,,5,,,,329,312,,  2 426,,,,,,191,,,,,,,,,,  34 259,,,,,,,,813,,,,,,,,  13 343,,,,,,,,,  3 477,41,,,,,,,515,,,,,,,,,,,,  335 992,,,,,393,  105 313,,,184,,  2 119,,,,,,  58 583,  57 542,,,,  8 713,,,,,,,  2 376,,,,,,,  8 469,,  122 190,,,,,24,,,,,,
Botswana,,,,,,,,,,,,  1 298,25,,14,,,,,21,,,,,,,,,,,,28,,,,,,673,,,,,5,,,,,,,,,,,,,10,101,,,67,,,,,,,,,0,,,,,18,41,,,,,,,,,8,,,,,,,,,,,,4,,,,,,80,,,44,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,603,,,235,,,,,,,,119,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,  45 014,,,,,,,41,108,74,,,,,,,,,,,,,,,,,,  3 513,141,,,,,,,,,,,  2 639,  3 286
Brazil,,,,,,,,,  48 792,,,  20 730,  5 186,,121,,  14 919,,94,  8 319,,,,,  25 688,,,,,,,114,,,286,,,  29 345,65,0,,,  18 243,  74 289,,,  2 337,,,,558,,193,,,66,425,  2 780,,  3 334,,,645,  2 654,146,242,,,58,,13,,,  1 540,  57 405,  19 481,,,,,  63 893,13,,  2 216,,,63,,240,968,,  2 135,,,174,900,132,,,,,  10 292,,  8 932,  104 207,,  182 227,111,,,,,,,31,,,,255,170,60,299,,,,,,112,,76,159,,,  6 198,,,,,,,,,489,,,  16 089,,  3 728,122,,,,,  5 176,,,,  2 002,,  73 715,  4 859,162,261,  129 968,95,,,,,44,433,,,,12,,,,25,,,626,85,,,,,103,121,,,  3 151,,  99 725,,,,  5 456,,  7 090,  47 482,,,,,185,,,,,,344,,,,,,,  56 055,,  347 968,,  10 496,,,  6 026,,,,,,
British Virgin Islands,,,,,,,,98,,,,0,,,3,,,,,,,,,,,63,,,,,,72,,,,,,108,,,,,0,,,,,,,,,,,,99,,,,,,,85,75,,,,,,,,,,,,,,,,,,,,,1,,14,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,4,,,,,,,,,,,,904,,,,,23,,,,,,,,,,,,,,,,,,,,75,,,,,,,292,,,  2 464,,,,,,,,,,
Brunei Darussalam,,,,,,,,,1,,,  3 386,6,,,,,,,,,,,,,,,,170,,,1,,,,,,  4 402,,,,,0,,,,,,,,,,,,,5,,,,7,,,,,77,,,,,,,,,1,49,,,,,,,,,,,,,,,,,,,,,,0,  25 388,,,,16,,,32,,,27,,,,,,,,,,,,,,,,,  6 083,,,,,,,,,,,,,,,,,,,,,615,,,,,,,,33,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,22,,,,,,,56,,24,,,,,,,,,,,,,,,,  5 731,,,,,,,,,,,,,
Bulgaria,,,,,,,,,295,,,  3 988,  15 733,,21,,,,61,  26 415,,,,,24,,,,284,,,,,,,,,  19 336,,,,,94,,,,85,,,,73,,305,125,,  6 857,  8 768,,,  5 611,,,74,194,77,,,,72,,14,,,  2 271,  17 626,,,,,,  105 331,,,  72 893,18,,,,,,,,,,,  1 397,182,,,,,  1 974,,  16 633,  57 691,,,53,  4 263,,,,,,451,,,,,12,71,880,,,,,,  1 055,,,,,,244,,,15,78,,,,,27,,,  18 714,,,61,,,,,  5 739,,,,73,,,68,,  1 730,  5 014,,,,121,,  11 154,  5 841,,,,,,,,,,,,  1 134,,,,,  2 190,  1 210,,,  4 224,,  130 116,,,,,,  8 513,  5 955,,,,  1 072,,,,,,,  482 851,,,,,  1 732,,  51 875,,  65 190,,,,,142,,,,,,
